t,y,yref
10,7,7
20,6.9948,7.0015
30,6.901,6.8648
40,6.737,6.6808
50,6.5278,6.4844
60,6.2905,6.281
70,6.0353,6.0617
80,5.7228,5.8039
90,5.2752,5.4723
100,4.8311,5.0783
110,4.4503,4.6656
120,4.1487,4.4106
130,3.9281,4.2817
140,3.7815,4.213
150,3.6997,4.1738
160,3.6627,4.1497
170,3.6474,4.1337
180,3.6406,4.1222
190,3.6369,4.1131
200,3.6344,4.1054
210,3.6322,4.0987
220,3.6301,4.0925
230,3.6279,4.0868
240,3.6256,4.0814
250,3.6231,4.0764
260,3.6205,4.0716
270,3.6178,4.067
280,3.6149,4.0628
290,3.612,4.0587
300,3.6091,4.0549
310,3.606,4.0513
320,3.603,4.0479
330,3.5999,4.0448
340,3.5969,4.0418
350,3.5938,4.039
360,3.5908,4.0363
370,3.5878,4.0339
380,3.5848,4.0316
390,3.5819,4.0294
400,3.5791,4.0274
410,3.5763,4.0255
420,3.5735,4.0237
430,3.5867,4.0619
440,3.6134,4.1251
450,3.6536,4.2073
460,3.7115,4.3062
470,3.7938,4.4203
480,3.9049,4.5457
490,4.0374,4.6727
500,4.176,4.7869
510,4.3078,4.8776
520,4.4249,4.9421
530,4.5239,4.9843
540,4.6046,5.0095
550,4.6687,5.0227
560,4.7186,5.028
570,4.7573,5.0283
580,4.7873,5.0258
590,4.8108,5.022
600,4.8296,5.0179
610,4.8451,5.0139
620,4.8582,5.0104
630,4.8696,5.0075
640,4.8798,5.0053
650,4.8891,5.0036
660,4.8976,5.0025
670,4.9055,5.0017
680,4.9128,5.0012
690,4.9195,5.0009
700,4.9257,5.0007
710,4.9314,5.0006
720,4.9366,5.0006
730,4.9414,5.0006
740,4.9457,5.0006
750,4.9495,5.0006
760,4.953,5.0006
770,4.9562,5.0005
780,4.959,5.0005
790,4.9615,5.0004
800,4.9637,5.0002
810,4.9656,5
820,4.9673,4.9998
830,5.0097,5.0997
840,5.0943,5.2273
850,5.2081,5.3431
860,5.3355,5.4371
870,5.4645,5.5111
880,5.5877,5.5698
890,5.7009,5.6171
900,5.8019,5.6559
910,5.8872,5.6885
920,5.9507,5.7164
930,5.99,5.7405
940,6.0109,5.7618
950,6.0214,5.7807
960,6.0268,5.7977
970,6.03,5.8131
980,6.0323,5.8272
990,6.0342,5.8401
1000,6.0361,5.852
1010,6.0381,5.8629
1020,6.04,5.8731
1030,6.0419,5.8826
1040,6.0438,5.8914
1050,6.0457,5.8996
1060,6.0475,5.9073
1070,6.0493,5.9145
1080,6.051,5.9211
1090,6.0525,5.9274
1100,6.054,5.9332
1110,6.0554,5.9386
1120,6.0567,5.9436
1130,6.0579,5.9483
1140,6.059,5.9527
1150,6.06,5.9567
1160,6.0609,5.9604
1170,6.0617,5.9639
1180,6.0624,5.9671
1190,6.0631,5.97
1200,6.0637,5.9727
1210,6.0642,5.9752
1220,6.0647,5.9775
1230,6.0961,6.0111
1240,6.1485,6.0613
1250,6.209,6.1203
1260,6.2729,6.1849
1270,6.3393,6.2529
1280,6.4079,6.3228
1290,6.4774,6.3934
1300,6.5463,6.4637
1310,6.613,6.5328
1320,6.6763,6.6002
1330,6.7351,6.6651
1340,6.7887,6.7272
1350,6.8366,6.7855
1360,6.8784,6.8395
1370,6.914,6.8882
1380,6.9434,6.9309
1390,6.9666,6.9669
1400,6.984,6.9957
1410,6.996,7.0174
1420,7.0032,7.0326
1430,7.0065,7.0419
1440,7.0065,7.0465
1450,7.0042,7.0475
1460,7.0003,7.046
1470,6.9954,7.0427
1480,6.9901,7.0385
1490,6.9846,7.0338
1500,6.9793,7.029
1510,6.9743,7.0244
1520,6.9697,7.0201
1530,6.9656,7.0163
1540,6.962,7.0129
1550,6.9589,7.0099
1560,6.9563,7.0075
1570,6.9541,7.0055
1580,6.9522,7.0039
1590,6.9508,7.0026
1600,6.9496,7.0017
1610,6.9486,7.0009
1620,6.9479,7.0004
1630,6.9763,7.0525
1640,7.0301,7.1496
1650,7.1012,7.2915
1660,7.1804,7.4765
1670,7.2556,7.665
1680,7.32,7.8001
1690,7.3774,7.8899
1700,7.4316,7.9488
1710,7.4844,7.9854
1720,7.5362,8.0059
1730,7.5868,8.0157
1740,7.6356,8.0189
1750,7.6821,8.0186
1760,7.7259,8.0167
1770,7.7666,8.0143
1780,7.8041,8.012
1790,7.8385,8.01
1800,7.8698,8.0083
1810,7.898,8.0069
1820,7.9233,8.0058
1830,7.9459,8.0049
1840,7.966,8.0042
1850,7.9837,8.0036
1860,7.9993,8.0031
1870,8.0129,8.0026
1880,8.0248,8.0023
1890,8.0352,8.002
1900,8.0441,8.0017
1910,8.0518,8.0015
1920,8.0584,8.0013
1930,8.0641,8.0011
1940,8.0689,8.0009
1950,8.073,8.0008
1960,8.0765,8.0007
1970,8.0795,8.0006
1980,8.082,8.0005
1990,8.0841,8.0005
2000,8.0858,8.0004
2010,8.0873,8.0004
2020,8.0885,8.0004
2030,8.1269,8.2256
2040,8.2017,8.4896
2050,8.2984,8.6658
2060,8.4011,8.7647
2070,8.4997,8.822
2080,8.5894,8.8584
2090,8.6688,8.8839
2100,8.7377,8.903
2110,8.7969,8.9181
2120,8.8472,8.9304
2130,8.8898,8.9405
2140,8.9256,8.9489
2150,8.9555,8.956
2160,8.9806,8.9621
2170,9.0016,8.9672
2180,9.0192,8.9716
2190,9.034,8.9753
2200,9.0467,8.9785
2210,9.0576,8.9813
2220,9.0671,8.9837
2230,9.0756,8.9858
2240,9.0832,8.9876
2250,9.0902,8.9891
2260,9.0967,8.9905
2270,9.1028,8.9917
2280,9.1087,8.9927
2290,9.1143,8.9936
2300,9.1198,8.9944
2310,9.1252,8.9951
2320,9.1306,8.9957
2330,9.1359,8.9962
2340,9.1413,8.9967
2350,9.1467,8.9971
2360,9.1522,8.9974
2370,9.1578,8.9977
2380,9.1635,8.998
2390,9.1694,8.9982
2400,9.1754,8.9984
2410,9.1816,8.9986
2420,9.1881,8.9988
2430,9.2288,9.077
2440,9.2981,9.1564
2450,9.3762,9.2241
2460,9.4431,9.2832
2470,9.4948,9.3381
2480,9.5371,9.3917
2490,9.5752,9.4456
2500,9.6115,9.5001
2510,9.6472,9.5545
2520,9.6824,9.6075
2530,9.7169,9.6581
2540,9.7503,9.7051
2550,9.7822,9.7481
2560,9.812,9.7868
2570,9.8397,9.8211
2580,9.8649,9.8514
2590,9.8876,9.8777
2600,9.9078,9.9005
2610,9.9256,9.9201
2620,9.9412,9.9368
2630,9.9546,9.951
2640,9.966,9.963
2650,9.9757,9.973
2660,9.9838,9.9812
2670,9.9905,9.9881
2680,9.996,9.9936
2690,10,9.998
2700,10.004,10.002
2710,10.007,10.004
2720,10.008,10.006
2730,10.01,10.008
2740,10.011,10.009
2750,10.011,10.009
2760,10.012,10.01
2770,10.012,10.01
2780,10.011,10.01
2790,10.011,10.01
2800,10.011,10.009
